gid,timestamp,dealNum,dealPri,highPri,increPer,increase,lowpri,name,nowpri,openPri,time,yesPri
601484,20251102_212046,170162492,514407481911,1186.7823,0.03,0.2986,1185.1065,模拟股票837,1186.6163,1186.6974,2025-11-02 21:20:46,1186.3177
601238,20251102_212046,709486998,1634299385215,982.2102,-0.18,-1.7467,979.5725,模拟股票459,980.4112,983.5388,2025-11-02 21:20:46,982.1579
601461,20251102_212046,148596007,1582302775950,1646.3034,-0.04,-0.6126,1642.3918,模拟股票229,1644.2812,1645.8746,2025-11-02 21:20:46,1644.8938
602079,20251102_212046,995299433,672513476573,423.3192,0.4,1.6766,421.3524,模拟股票125,422.3159,419.3497,2025-11-02 21:20:46,420.6393
603911,20251102_212046,750456979,1993465892410,4398.0458,-0.03,-1.1676,4395.1473,模拟股票516,4395.6646,4395.9701,2025-11-02 21:20:46,4396.8322
603665,20251102_212046,125036861,1547358957206,1235.4543,-0.01,-0.1035,1234.8942,模拟股票229,1235.2427,1236.0635,2025-11-02 21:20:46,1235.3462
603982,20251102_212046,340785780,774634934904,549.4177,-0.08,-0.4267,547.258,模拟股票726,549.2613,549.4639,2025-11-02 21:20:46,549.688
603231,20251102_212046,313351314,1811785391215,4839.8733,-0.01,-0.4339,4836.0359,模拟股票427,4837.6542,4837.3875,2025-11-02 21:20:46,4838.0881
603605,20251102_212046,100351678,984729921196,4575.823,-0.01,-0.4714,4573.3907,模拟股票170,4574.1354,4575.3956,2025-11-02 21:20:46,4574.6068
602984,20251102_212046,382796692,1490565229094,2479.1476,0.08,2.023,2477.2791,模拟股票343,2477.9873,2476.9651,2025-11-02 21:20:46,2475.9643
603160,20251102_212046,518073783,1858055487063,2461.9444,-0.02,-0.3829,2459.2765,模拟股票740,2460.941,2460.102,2025-11-02 21:20:46,2461.3239
600036,20251102_212046,873172663,1246971533921,4601.8409,0.03,1.3567,4600.8474,模拟股票6,4601.4108,4598.8333,2025-11-02 21:20:46,4600.0541
601832,20251102_212046,49494884,755469115594,497.7245,-0.18,-0.919,495.0808,模拟股票713,495.8392,497.2474,2025-11-02 21:20:46,496.7582
603970,20251102_212046,97047976,970925912467,3264.095,0.08,2.569,3260.5496,模拟股票719,3261.8356,3260.1017,2025-11-02 21:20:46,3259.2666
600708,20251102_212046,207055570,365192291760,2491.7042,-0.1,-2.6054,2490.9438,模拟股票590,2491.4923,2493.4734,2025-11-02 21:20:46,2494.0977
603326,20251102_212046,324299744,277008372926,1171.9379,-0.14,-1.6144,1169.5703,模拟股票682,1170.8887,1171.5749,2025-11-02 21:20:46,1172.5031
601294,20251102_212046,659305725,1968654106464,3228.3092,0.0,0.0404,3226.8396,模拟股票611,3227.1583,3228.4268,2025-11-02 21:20:46,3227.1179
602516,20251102_212046,398596292,10223088601,1879.1722,-0.04,-0.7493,1875.8666,模拟股票508,1878.2531,1880.3365,2025-11-02 21:20:46,1879.0024
602474,20251102_212046,658380640,1320852770236,473.5405,-0.09,-0.4393,472.9308,模拟股票267,473.3313,473.7218,2025-11-02 21:20:46,473.7706
601271,20251102_212046,659326891,1872778654882,2049.3155,-0.0,-0.0985,2048.4666,模拟股票760,2048.703,2049.1882,2025-11-02 21:20:46,2048.8015
601632,20251102_212046,942960914,1799220745269,4426.2363,0.03,1.1113,4423.3071,模拟股票322,4424.0988,4423.3228,2025-11-02 21:20:46,4422.9875
601073,20251102_212046,716490672,273402855175,202.4728,0.41,0.8091,198.3232,模拟股票372,200.4333,200.4413,2025-11-02 21:20:46,199.6242
603275,20251102_212046,670032688,544366336752,654.127,-0.18,-1.1816,651.4169,模拟股票364,652.0075,652.0132,2025-11-02 21:20:46,653.1891
603722,20251102_212046,302267641,797810767626,217.9694,0.9,1.9317,216.5824,模拟股票111,217.2923,215.8167,2025-11-02 21:20:46,215.3606
600481,20251102_212046,729703586,1730167313301,2681.2069,0.08,2.2389,2678.1176,模拟股票969,2680.458,2679.4172,2025-11-02 21:20:46,2678.2191
603906,20251102_212046,965270780,36529858462,1551.107,0.13,1.9668,1548.7267,模拟股票893,1550.0003,1547.4244,2025-11-02 21:20:46,1548.0335
602165,20251102_212046,225355752,259148250397,4202.8632,0.04,1.8513,4199.2745,模拟股票804,4200.3973,4198.6824,2025-11-02 21:20:46,4198.546
600288,20251102_212046,685934170,1978245588920,715.3724,-0.25,-1.7903,712.7133,模拟股票77,714.3697,715.1415,2025-11-02 21:20:46,716.16
600514,20251102_212046,938711778,1535797195740,2441.0623,-0.1,-2.3392,2438.2287,模拟股票720,2440.3936,2441.815,2025-11-02 21:20:46,2442.7328
